Z,dT,Fitness,Precision,Generality,Simplicity
0,base,0.9998544123033136,0.10683279104832955,0.8713091299380341,0.6318407960199005
10,259200,0.9997636224131508,0.27326191976475533,0.85985097259186,0.6373056994818652
20,259200,0.9998032523850162,0.35716557976777474,0.8297422198710361,0.6432432432432433
30,259200,0.9998243179597938,0.5345856741573034,0.804466088045616,0.6825396825396826
40,259200,0.9998432449646351,0.5485244904167934,0.7166740441333797,0.7011494252873564
50,259200,0.9998460118440459,0.7446471054718478,0.8857106119804936,0.7241379310344828
60,259200,0.9998921610165862,0.6821384169084128,0.8826173807604206,0.7272727272727273
70,259200,0.9998951669969578,0.611441647597254,0.8171099532956044,0.7272727272727273
80,259200,0.999932699591357,0.5727470141150923,0.8082620144545094,0.7560975609756097
90,259200,0.9999570125351754,0.7954545454545454,0.757405349019751,0.7777777777777779
100,259200,0.9999117620152637,0.7466329966329966,0.7116970268971858,0.7499999999999999
110,259200,0.999891145802761,0.7765118317265557,0.6744939889263362,0.7297297297297298
120,259200,0.9999428386064587,0.8172458172458172,0.8034764004157018,0.8181818181818181
130,259200,0.9999692921365035,0.7894736842105263,0.8844488037752052,0.8823529411764706
140,259200,0.9999675191135419,0.7966101694915254,0.86151280726394,0.8823529411764706
150,259200,0.9999616449389812,0.8217821782178218,0.8042290429354857,0.8823529411764706
175,259200,0.9999741939313158,1.0,0.7947614499568048,1.0
183,259200,0.999971428979586,1.0,0.0585786437626904,1.0
